일시,당도
2015-08-03,6.73
2015-08-17,6.74
2015-09-01,6.64
2015-09-14,7.03
2015-10-05,7.91
2015-10-14,8.2
2015-11-03,9.28
2015-11-16,9.45
2016-08-01,6.47
2016-08-16,8.24
2016-09-01,8.42
2016-09-20,8.35
2016-10-04,8.27
2016-10-17,8.45
2016-11-03,9.23
2016-11-14,9.48
2017-08-01,5.98
2017-08-15,6.28
2017-09-01,6.72
2017-09-15,7.28
2017-10-01,8.03
2017-10-15,8.65
2017-11-01,9.08
2017-11-15,9.72
2018-08-01,8.11
2018-08-15,10.13
2018-09-01,8.8
2018-09-15,7.82
2018-10-01,8.01
2018-10-15,8.52
2018-11-01,9.54
2018-11-15,9.92
2019-08-01,5.96
2019-08-15,6.89
2019-09-01,7.27
2019-09-15,7.32
2019-10-01,7.54
2019-10-15,8.37
2019-11-01,9.48
2019-11-15,9.98
2019-11-28,10.28
2020-08-01,5.54
2020-08-15,5.64
2020-09-01,6.31
2020-09-15,6.17
2020-10-01,6.55
2020-10-15,8.09
2020-11-01,9.08
2020-11-15,9.28
2021-08-01,6.48
2021-08-15,6.68
2021-09-01,6.75
2021-09-15,7
2021-10-01,7.45
2021-10-15,8.33
2021-11-01,8.93
2021-11-15,9.37
2021-11-25,9.87
2022-08-01,6.29
2022-08-15,6.67
2022-09-01,7.09
2022-09-15,7.06
2022-10-01,8.16
2022-10-15,9.02
2022-11-01,9.81
2022-11-15,10.49
2022-12-01,11.18
2023-08-01,5.94
2023-08-15,6.46
2023-09-01,6.6
2023-09-15,7
2023-10-01,7.64
2023-10-15,8.2
2023-11-01,8.78
2023-11-15,9.32
2024-08-01,6.15
2024-08-15,7.56
2024-09-01,7.1
2024-09-15,7.55
2024-10-01,7.2
2024-10-15,8.4
2024-11-01,8
2024-11-15,8.9
2025-08-01,6.9
2025-08-15,7.3
2025-09-01,7.5
2025-09-15,7.46
2025-10-01,8.08
2025-10-15,8.6
2025-11-01,9.12
2025-11-15,9.88
